iter	Logloss	Accuracy
620	0.3546205218	0.8387789538
621	0.3545430824	0.8386255561
622	0.35447727	0.8383187605
623	0.3544100574	0.8383187605
624	0.354325706	0.8387789538
625	0.3542426815	0.8387789538
626	0.3541904815	0.8387789538
627	0.3541080128	0.8384721583
628	0.3539793987	0.8386255561
629	0.3539201644	0.8386255561
630	0.353759427	0.8389323516
631	0.3537173699	0.8389323516
632	0.3535856331	0.8390857493
633	0.3534708961	0.8390857493
634	0.3533448787	0.8387789538
635	0.3532534837	0.8387789538
636	0.3531453608	0.8387789538
637	0.3531295231	0.8387789538
638	0.3529973806	0.8384721583
639	0.352875177	0.8392391471
640	0.3527181426	0.8389323516
641	0.352642588	0.8392391471
642	0.3526041885	0.8392391471
643	0.3524939001	0.8393925449
644	0.3524842237	0.8393925449
645	0.3523890081	0.8393925449
646	0.3523101408	0.8393925449
647	0.3522261087	0.8393925449
648	0.3521331454	0.8396993404
649	0.3521024047	0.8398527382
650	0.3520439501	0.8401595337
651	0.3519491653	0.8401595337
652	0.3518312443	0.8395459426
653	0.3517713865	0.8395459426
654	0.3517273734	0.8398527382
655	0.3516675762	0.8400061359
656	0.3515549287	0.8401595337
657	0.3514884808	0.8401595337
658	0.351456358	0.8401595337
659	0.3513607945	0.8400061359
660	0.3512610422	0.8403129314
661	0.3512232193	0.8404663292
662	0.3511449081	0.8403129314
663	0.3510668986	0.8400061359
664	0.3509820152	0.8400061359
665	0.350941759	0.8400061359
666	0.3508632547	0.8398527382
667	0.350646295	0.8407731247
668	0.3504801324	0.841233318
669	0.3504106674	0.841233318
670	0.3502900575	0.8410799202
671	0.3502019513	0.8410799202
672	0.3500676602	0.841233318
673	0.3499689043	0.8413867158
674	0.3499455599	0.841846909
675	0.3499214159	0.8416935113
676	0.3499064467	0.8415401135
677	0.3499046848	0.8416935113
678	0.3498653652	0.8415401135
679	0.3498088334	0.8416935113
680	0.3496911963	0.8416935113
681	0.3496014941	0.841846909
682	0.349508657	0.8416935113
683	0.3494634987	0.8416935113
684	0.3493304476	0.8423071023
685	0.3492747959	0.8420003068
686	0.3491138892	0.8423071023
687	0.3490494309	0.8421537046
688	0.3489943182	0.8421537046
689	0.3488869742	0.841846909
690	0.3488277828	0.8420003068
691	0.3487482192	0.8423071023
692	0.3487027018	0.8421537046
693	0.3486426335	0.8424605001
694	0.3486345931	0.8424605001
695	0.348449529	0.8427672956
696	0.3483236542	0.8424605001
697	0.3481793366	0.8429206934
698	0.3480785233	0.8432274889
699	0.3480014054	0.8432274889
700	0.3479289756	0.8432274889
701	0.347841562	0.8432274889
702	0.3477995172	0.8432274889
703	0.3477329277	0.8433808866
704	0.3476846339	0.8433808866
705	0.347537486	0.8432274889
706	0.3474743679	0.8433808866
707	0.3473734394	0.8432274889
708	0.3471762706	0.8432274889
709	0.347113386	0.8430740911
710	0.3469879144	0.8432274889
711	0.3468969472	0.8432274889
712	0.3467643889	0.8429206934
713	0.3467345713	0.8429206934
714	0.3464903661	0.8433808866
715	0.3463827362	0.8432274889
716	0.3462562317	0.8432274889
717	0.346195765	0.8432274889
718	0.3461124446	0.8433808866
719	0.3460701979	0.8436876822
720	0.3459715603	0.8430740911
721	0.3459361101	0.8432274889
722	0.3458042167	0.8430740911
723	0.3456852754	0.8432274889
724	0.3455115348	0.8435342844
725	0.3454578855	0.8439944777
726	0.3453580101	0.8438410799
727	0.3453000126	0.8436876822
728	0.3452563763	0.8438410799
729	0.3452043416	0.8439944777
730	0.3450989383	0.8441478754
731	0.3450639794	0.8441478754
732	0.3449780657	0.8438410799
733	0.3449249883	0.8439944777
734	0.3448486977	0.8441478754
735	0.3448032236	0.8441478754
736	0.344783168	0.8441478754
737	0.3447131391	0.8446080687
738	0.3446819718	0.8446080687
739	0.3445747039	0.8449148642
740	0.3445210715	0.8446080687
741	0.3444153623	0.8446080687
742	0.3443319722	0.8446080687
743	0.3442782281	0.8449148642
744	0.3441625273	0.8452216598
745	0.3441359019	0.845068262
746	0.3440431453	0.8455284553
747	0.343961141	0.8453750575
748	0.3438118598	0.8453750575
749	0.3437800916	0.8452216598
750	0.343734061	0.8455284553
751	0.3436733934	0.8453750575
752	0.3435982158	0.8455284553
753	0.3434890854	0.8455284553
754	0.3433917024	0.8461420463
755	0.3432999462	0.8459886486
756	0.3432063892	0.845681853
757	0.343159174	0.8459886486
758	0.3430509247	0.8461420463
759	0.3429931901	0.8461420463
760	0.342921958	0.8466022396
761	0.3428396036	0.8466022396
762	0.3427250882	0.8469090351
763	0.3426891184	0.8469090351
764	0.3425199042	0.8472158306
765	0.3424774618	0.8472158306
766	0.3423304339	0.8475226262
767	0.3422617664	0.8472158306
768	0.342223444	0.8472158306
769	0.3421013179	0.8473692284
770	0.3419306115	0.8475226262
771	0.3418589544	0.8475226262
772	0.341753359	0.8473692284
773	0.341677999	0.8469090351
774	0.3416451484	0.8472158306
775	0.3415716598	0.8472158306
776	0.3414346801	0.8475226262
777	0.341400146	0.8476760239
778	0.3413803833	0.8476760239
779	0.3413109217	0.8476760239
780	0.3412229264	0.8475226262
781	0.3411299025	0.8475226262
782	0.3409915385	0.8481362172
783	0.3409396099	0.848289615
784	0.3408795333	0.848289615
785	0.3408605665	0.8484430127
786	0.3408383044	0.848289615
787	0.3407758997	0.8479828195
788	0.3406973314	0.848289615
789	0.3406090459	0.848903206
790	0.3405986396	0.848903206
791	0.3405195934	0.8487498083
792	0.3403710436	0.848903206
793	0.3402467454	0.8490566038
794	0.3401389628	0.8492100015
795	0.3400748502	0.8492100015
796	0.3400140114	0.8492100015
797	0.3399159143	0.8490566038
798	0.3398232449	0.8495167971
799	0.3396702678	0.8495167971
800	0.3396673163	0.8493633993
801	0.3395234691	0.8493633993
802	0.3394704071	0.8492100015
803	0.3393612404	0.8492100015
804	0.3392898462	0.8493633993
805	0.3392746313	0.8493633993
806	0.3392059899	0.8493633993
807	0.3391043175	0.8490566038
808	0.3390128392	0.8487498083
809	0.3389946003	0.848903206
810	0.3389344341	0.8490566038
811	0.3388546626	0.8493633993
812	0.3387716501	0.8493633993
813	0.3386494118	0.8495167971
814	0.3384890479	0.8492100015
815	0.3384039715	0.8492100015
816	0.3382880621	0.8495167971
817	0.3381348163	0.8492100015
818	0.3381108779	0.8493633993
819	0.3380290914	0.8493633993
820	0.3380064672	0.8493633993
821	0.3379453861	0.8493633993
822	0.337861498	0.8501303881
823	0.3378026864	0.8499769903
824	0.3377757903	0.8499769903
825	0.3377310503	0.8496701948
826	0.337597874	0.8493633993
827	0.3375839486	0.8493633993
828	0.3375509918	0.8498235926
829	0.3374204045	0.8502837859
830	0.3373506608	0.8501303881
831	0.3372662793	0.8501303881
832	0.3371857612	0.8501303881
833	0.3371148076	0.8501303881
834	0.3370574699	0.8505905814
835	0.3369845279	0.8505905814
836	0.3368872743	0.8510507747
837	0.3368440677	0.8512041724
838	0.3367891077	0.8507439791
839	0.3367563923	0.8507439791
840	0.3366888164	0.8508973769
841	0.3366461484	0.8510507747
842	0.3365531364	0.8507439791
843	0.3365090785	0.8513575702
844	0.3364353233	0.8512041724
845	0.3363466918	0.8512041724
846	0.3363270687	0.8513575702
847	0.3361782731	0.8512041724
848	0.3361423217	0.8515109679
849	0.3360637647	0.8519711612
850	0.335954107	0.8519711612
851	0.3358838942	0.8525847523
852	0.3358311309	0.8524313545
